game,playoff,date,team,loc,opp,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,ts_pct,eFG_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,Name
1,/play-index/pgl_cum_stats.cgi?player=greendr01&year=2017&date_game=2016-10-25&is_playoff_game=N,2016-10-25,GSW,,SAS,L (-29),1,32:37,7,14,.500,2,5,.400,2,2,1.000,5,7,12,6,5,1,2,2,18,23.7,-5,.605,.571,17.5,21.5,19.6,29.7,7.5,2.0,11.8,22.8,125,114,Draymond Green
2,/play-index/pgl_cum_stats.cgi?player=greendr01&year=2017&date_game=2016-10-28&is_playoff_game=N,2016-10-28,GSW,@,NOP,W (+8),1,34:04,3,10,.300,1,2,.500,1,2,.500,4,7,11,7,2,0,3,5,8,8.6,0,.368,.350,12.3,19.0,15.8,24.8,2.6,0.0,21.6,16.7,93,103,Draymond Green
3,/play-index/pgl_cum_stats.cgi?player=greendr01&year=2017&date_game=2016-10-30&is_playoff_game=N,2016-10-30,GSW,@,PHO,W (+6),1,37:47,2,9,.222,0,4,.000,1,2,.500,1,12,13,9,0,3,2,3,5,8.6,+8,.253,.222,2.8,32.4,17.8,35.2,0.0,5.7,16.8,13.4,78,95,Draymond Green
4,/play-index/pgl_cum_stats.cgi?player=greendr01&year=2017&date_game=2016-11-01&is_playoff_game=N,2016-11-01,GSW,@,POR,W (+23),1,30:01,2,3,.667,1,2,.500,1,2,.500,0,8,8,9,3,2,0,2,6,16.6,+24,.773,.833,0.0,29.1,16.6,30.8,4.6,6.8,0.0,5.4,184,89,Draymond Green
5,/play-index/pgl_cum_stats.cgi?player=greendr01&year=2017&date_game=2016-11-03&is_playoff_game=N,2016-11-03,GSW,,OKC,W (+26),1,29:10,2,9,.222,0,2,.000,5,6,.833,4,6,10,5,1,4,4,3,9,9.8,+9,.387,.222,15.3,22.4,18.9,19.3,1.7,11.0,25.6,22.8,95,93,Draymond Green
6,/play-index/pgl_cum_stats.cgi?player=greendr01&year=2017&date_game=2016-11-04&is_playoff_game=N,2016-11-04,GSW,@,LAL,L (-20),1,33:41,6,10,.600,0,3,.000,4,6,.667,2,7,9,4,4,0,1,1,16,19.5,-9,.633,.600,6.5,21.2,14.1,18.7,5.6,0.0,7.3,16.9,129,105,Draymond Green
7,/play-index/pgl_cum_stats.cgi?player=greendr01&year=2017&date_game=2016-11-07&is_playoff_game=N,2016-11-07,GSW,,NOP,W (+10),1,34:42,2,7,.286,0,1,.000,0,0,,2,10,12,11,2,2,2,3,4,12.2,+5,.286,.286,6.6,35.5,20.5,36.0,2.8,4.7,22.2,11.3,111,101,Draymond Green
8,/play-index/pgl_cum_stats.cgi?player=greendr01&year=2017&date_game=2016-11-09&is_playoff_game=N,2016-11-09,GSW,,DAL,W (+21),1,34:36,6,11,.545,4,6,.667,0,1,.000,1,9,10,4,0,1,1,3,16,15.0,+9,.699,.727,4.1,26.6,17.1,16.0,0.0,2.4,8.0,17.5,131,102,Draymond Green
9,/play-index/pgl_cum_stats.cgi?player=greendr01&year=2017&date_game=2016-11-10&is_playoff_game=N,2016-11-10,GSW,@,DEN,W (+24),1,28:46,4,7,.571,3,4,.750,2,2,1.000,0,9,9,5,3,0,1,2,13,17.1,+22,.825,.786,0.0,28.9,17.1,21.2,5.1,0.0,11.3,13.6,156,92,Draymond Green
10,/play-index/pgl_cum_stats.cgi?player=greendr01&year=2017&date_game=2016-11-13&is_playoff_game=N,2016-11-13,GSW,,PHO,W (+13),1,37:01,4,10,.400,1,5,.200,5,5,1.000,2,5,7,11,3,2,3,3,14,19.4,+20,.574,.450,6.8,15.1,11.2,35.8,3.7,3.9,19.7,16.9,129,108,Draymond Green
11,/play-index/pgl_cum_stats.cgi?player=greendr01&year=2017&date_game=2016-11-16&is_playoff_game=N,2016-11-16,GSW,@,TOR,W (+6),1,34:54,5,13,.385,1,4,.250,0,0,,0,7,7,5,2,3,3,4,11,9.0,+1,.423,.423,0.0,23.5,11.9,18.5,2.8,7.2,18.8,19.8,81,114,Draymond Green
12,/play-index/pgl_cum_stats.cgi?player=greendr01&year=2017&date_game=2016-11-18&is_playoff_game=N,2016-11-18,GSW,@,BOS,W (+16),1,35:09,3,11,.273,2,6,.333,3,4,.750,1,7,8,8,1,2,1,3,11,12.7,+14,.431,.364,3.0,19.9,11.7,27.4,1.4,5.4,7.3,17.7,108,91,Draymond Green
13,/play-index/pgl_cum_stats.cgi?player=greendr01&year=2017&date_game=2016-11-19&is_playoff_game=N,2016-11-19,GSW,@,MIL,W (+3),1,35:31,3,7,.429,0,1,.000,4,4,1.000,1,1,2,5,3,2,2,3,10,12.0,+10,.571,.429,2.8,3.7,3.1,17.8,4.1,3.9,18.6,12.0,121,117,Draymond Green
14,/play-index/pgl_cum_stats.cgi?player=greendr01&year=2017&date_game=2016-11-21&is_playoff_game=N,2016-11-21,GSW,@,IND,W (+37),1,29:25,4,7,.571,0,2,.000,2,2,1.000,3,6,9,7,2,2,1,1,10,17.5,+32,.635,.571,10.6,15.5,13.5,34.1,3.2,4.1,11.3,12.5,147,78,Draymond Green
15,/play-index/pgl_cum_stats.cgi?player=greendr01&year=2017&date_game=2016-11-23&is_playoff_game=N,2016-11-23,GSW,,LAL,W (+43),1,27:56,1,6,.167,0,3,.000,3,6,.500,1,8,9,11,1,1,0,1,5,12.1,+30,.289,.167,4.8,28.1,18.2,36.9,1.6,2.4,0.0,13.3,129,98,Draymond Green
16,/play-index/pgl_cum_stats.cgi?player=greendr01&year=2017&date_game=2016-11-25&is_playoff_game=N,2016-11-25,GSW,@,LAL,W (+24),1,25:56,5,7,.714,1,2,.500,1,3,.333,0,8,8,4,3,1,2,3,12,14.0,+11,.721,.786,0.0,27.4,16.6,21.9,5.5,2.7,19.4,17.8,117,71,Draymond Green
17,/play-index/pgl_cum_stats.cgi?player=greendr01&year=2017&date_game=2016-11-28&is_playoff_game=N,2016-11-28,GSW,,ATL,W (+5),1,39:10,2,9,.222,0,3,.000,0,0,,1,2,3,7,1,4,2,4,4,4.9,+8,.222,.222,2.8,5.1,4.0,24.8,1.2,8.6,18.2,12.3,73,100,Draymond Green
18,/play-index/pgl_cum_stats.cgi?player=greendr01&year=2017&date_game=2016-12-01&is_playoff_game=N,2016-12-01,GSW,,HOU,L (-5),1,46:55,9,15,.600,0,2,.000,2,5,.400,5,10,15,9,2,1,4,6,20,21.0,+1,.581,.600,11.4,22.1,16.9,34.9,2.0,1.9,18.9,19.1,113,107,Draymond Green
19,/play-index/pgl_cum_stats.cgi?player=greendr01&year=2017&date_game=2016-12-03&is_playoff_game=N,2016-12-03,GSW,,PHO,W (+29),1,28:11,2,6,.333,1,3,.333,4,5,.800,1,4,5,14,3,0,4,3,9,14.7,+10,.549,.417,6.1,14.8,11.5,52.3,5.1,0.0,32.8,18.9,127,103,Draymond Green
20,/play-index/pgl_cum_stats.cgi?player=greendr01&year=2017&date_game=2016-12-05&is_playoff_game=N,2016-12-05,GSW,,IND,W (+36),1,26:55,1,6,.167,0,2,.000,0,0,,1,4,5,10,4,1,1,3,2,9.6,+24,.167,.167,3.8,15.2,9.5,34.2,6.8,2.5,14.3,9.9,108,93,Draymond Green
21,/play-index/pgl_cum_stats.cgi?player=greendr01&year=2017&date_game=2016-12-07&is_playoff_game=N,2016-12-07,GSW,@,LAC,W (+17),1,31:31,8,10,.800,3,5,.600,3,4,.750,3,2,5,4,2,0,1,4,22,22.7,+25,.935,.950,10.9,6.0,8.2,20.4,3.2,0.0,7.8,17.4,171,106,Draymond Green
22,/play-index/pgl_cum_stats.cgi?player=greendr01&year=2017&date_game=2016-12-08&is_playoff_game=N,2016-12-08,GSW,@,UTA,W (+7),1,34:55,4,9,.444,4,6,.667,1,4,.250,2,8,10,8,4,0,1,2,13,18.7,+10,.604,.667,6.4,22.0,14.8,32.8,5.6,0.0,8.5,15.2,133,92,Draymond Green
23,/play-index/pgl_cum_stats.cgi?player=greendr01&year=2017&date_game=2016-12-10&is_playoff_game=N,2016-12-10,GSW,@,MEM,L (-21),1,26:07,3,7,.429,0,1,.000,1,3,.333,4,3,7,1,2,0,4,4,7,3.3,-20,.421,.429,16.0,12.8,14.5,6.5,3.8,0.0,32.5,20.8,73,111,Draymond Green
24,/play-index/pgl_cum_stats.cgi?player=greendr01&year=2017&date_game=2016-12-11&is_playoff_game=N,2016-12-11,GSW,@,MIN,W (+8),1,34:34,6,9,.667,5,8,.625,1,2,.500,0,5,5,4,1,1,2,4,18,16.1,-12,.911,.944,0.0,14.8,7.9,18.7,1.5,2.4,16.8,15.8,134,114,Draymond Green
25,/play-index/pgl_cum_stats.cgi?player=greendr01&year=2017&date_game=2016-12-13&is_playoff_game=N,2016-12-13,GSW,@,NOP,W (+4),1,35:59,4,11,.364,2,5,.400,2,2,1.000,1,13,14,10,4,1,2,2,12,19.4,+5,.505,.455,2.8,41.3,20.8,36.4,5.2,2.8,14.4,16.0,115,93,Draymond Green
26,/play-index/pgl_cum_stats.cgi?player=greendr01&year=2017&date_game=2016-12-15&is_playoff_game=N,2016-12-15,GSW,,NYK,W (+13),1,31:35,2,12,.167,1,5,.200,0,0,,5,6,11,7,0,2,3,3,5,4.8,+18,.208,.208,15.2,16.3,15.8,25.4,0.0,4.2,20.0,19.6,75,93,Draymond Green
